metric,value
synth_lut,0
synth_ff,145
synth_bram,0
synth_dsp,0
impl_lut,128
impl_ff,153
impl_bram,0
impl_dsp,0
synth_muxf7,0
synth_muxf8,0
synth_carry,5
impl_muxf7,0
impl_muxf8,0
impl_carry,5
synth_wns,5.790
impl_wns,5.455
impl_whs,0.174
max_freq,220.02
total_power,0.076
